prediction_edge	label_source	AUPR	AUROC	dataset	lf_num
CbG	CbG	0.25	0.8888888888888888	tune	1
CbG	CbG	0.25	0.9473684210526316	tune	1
CbG	CbG	0.23809523809523808	0.8928571428571428	tune	1
CbG	CbG	0.1800194931773879	0.7747747747747747	tune	1
CbG	CbG	0.11691909669850846	0.7092198581560284	tune	1
CbG	CbG	0.10273321449792037	0.6842105263157895	tune	1
CbG	CbG	0.19038871020578335	0.75	tune	1
CbG	CbG	0.1972550762962973	0.7221135029354208	tune	1
CbG	CbG	0.1924997040663307	0.7383820998278829	tune	1
CbG	CbG	0.17947367970440628	0.728110599078341	tune	1
CbG	CbG	0.15208693291264747	0.7253814147018031	tune	1
CbG	CbG	0.1808134921637286	0.6816816816816816	tune	1
CbG	CbG	0.15782229683620064	0.6096256684491979	tune	1
CbG	CbG	0.14890335916765543	0.5735677083333333	tune	1
CbG	CbG	0.14492637535340894	0.5754830917874396	tune	1
CbG	CbG	0.1409245351542447	0.5693354264782836	tune	1
CbG	CbG	0.13859819951385183	0.5317185697808535	tune	1
CbG	CbG	0.12935082930418662	0.5276073619631902	tune	1
CbG	CbG	0.12713477363938785	0.5248708010335917	tune	1
CbG	CbG	0.11740408045904242	0.5357142857142857	tune	1
CbG	CbG	0.10837654108958827	0.53125	tune	1
CbG	CbG	0.10568891903520082	0.5346534653465347	tune	1
CbG	CbG	0.10416798782920782	0.5435010482180294	tune	1
CbG	CbG	0.11314151154745768	0.5646582519647535	tune	1
CbG	CbG	0.12618311089061462	0.5963817841547099	tune	1
CbG	CbG	0.14932372961364293	0.6159281894576012	tune	1
CbG	CbG	0.1465701788127953	0.6156524926686217	tune	1
CbG	CbG	0.16651033573282498	0.61669921875	tune	1
CbG	CbG	0.17597509848037296	0.6372830188679246	tune	1
CbG	CbG	0.16779487721320835	0.608058608058608	tune	1
CbG	CbG	0.16352406925695756	0.5943515704154002	tune	1
CbG	CbG	0.1550440075442598	0.5762531105581231	tune	1
CbG	CbG	0.15375864356005292	0.5815099094970787	tune	1
CbG	CbG	0.15020561552036324	0.5805521676460805	tune	1
CbG	CbG	0.16182910162657044	0.5920833333333333	tune	1
CbG	CbG	0.15994520965888898	0.5922222222222222	tune	1
CbG	CbG	0.15703816767455525	0.5919607843137256	tune	1
CbG	CbG	0.16436025097972243	0.6019964876605971	tune	1
CbG	CbG	0.16198914662592245	0.5962142432730668	tune	1
CbG	CbG	0.1593642330388652	0.5957394104533069	tune	1
CbG	CbG	0.14951059345394246	0.583072590738423	tune	1
CbG	CbG	0.14401834980202172	0.5796251142944225	tune	1
CbG	CbG	0.14206041881621673	0.5817721518987342	tune	1
CbG	CbG	0.13981196838399593	0.5815873015873017	tune	1
CbG	CbG	0.13831678627106242	0.5805163511187608	tune	1
CbG	CbG	0.1360236906134452	0.5807731092436975	tune	1
CbG	CbG	0.13407168139604836	0.579047619047619	tune	1
CbG	CbG	0.13031262246729722	0.5712587587587588	tune	1
CbG	CbG	0.1220551659434459	0.5638088419545373	tune	1
CbG	CbG	0.12059094741061159	0.562430681221178	tune	1
CbG	CbG	0.11759937001852723	0.5615679104051198	test	1
CbG	CbG	0.11477155589572816	0.5603491690448212	test	1
CbG	CbG	0.1118342094369437	0.5581382599638178	test	1
CbG	CbG	0.1095568442345084	0.5579495996991027	test	1
CbG	CbG	0.10353894892502084	0.5540277119224488	test	1
CbG	CbG	0.10256158185330262	0.5532530618572684	test	1
CbG	CbG	0.10091933164919689	0.5531159677501141	test	1
CbG	CbG	0.09968530571551848	0.5536807525757802	test	1
CbG	CbG	0.09775101419473671	0.5518688024408848	test	1
CbG	CbG	0.10566616141103313	0.56	test	1
CbG	CbG	0.1039682334302598	0.563718976381328	test	1
CbG	CbG	0.10224188540467959	0.5506261328060637	test	1
CbG	CbG	0.10151891650366582	0.5512633624878522	test	1
CbG	CbG	0.10057618008368806	0.5502866698518872	test	1
CbG	CbG	0.09891426108137574	0.5491854636591479	test	1
CbG	CbG	0.09864871027395915	0.5471517119244391	test	1
CbG	CbG	0.1039840668763446	0.5545599999999999	test	1
CbG	CbG	0.11216055698673985	0.562097106021122	test	1
CbG	CbG	0.11120947701269446	0.5616392114501756	test	1
CbG	CbG	0.10930667486288473	0.5595333067411249	test	1
CbG	CbG	0.1265613707224344	0.5734516616314199	test	1
CbG	CbG	0.1389130621228593	0.5804921074241918	test	1
CbG	CbG	0.13675110661889556	0.5809883424735532	test	1
CbG	CbG	0.13680117451538457	0.5840579710144927	test	1
CbG	CbG	0.1402188867141702	0.5936191315847477	test	1
CbG	CbG	0.13528892063629108	0.5948867123909157	test	1
CbG	CbG	0.13426570217304423	0.5923856817711567	test	1
CbG	CbG	0.13386869346909414	0.5943016018773594	test	1
CbG	CbG	0.1327666257577678	0.5926530612244898	test	1
CbG	CbG	0.13223226862778617	0.593776693105552	test	1
CbG	CbG	0.13565594014832288	0.6012457370215991	test	1
CbG	CbG	0.1345452165551033	0.6012761780104712	test	1
CbG	CbG	0.13480063356938224	0.6043212818592406	test	1
CbG	CbG	0.13705054452888826	0.6069359144078648	test	1
CbG	CbG	0.13462345253546237	0.6061411215153528	test	1
CbG	CbG	0.1334623115840237	0.6054791666666667	test	1
CbG	CbG	0.13232639007325203	0.6042798353909467	test	1
CbG	CbG	0.13189482114697404	0.6052439024390244	test	1
CbG	CbG	0.13171610697082042	0.6073879254088473	test	1
CbG	CbG	0.12972033278863526	0.6027407806605588	test	1
CbG	CbG	0.12891144763191562	0.6024611990261717	test	1
CbG	CbG	0.13796331728056013	0.6093932535046729	test	1
CbG	CbG	0.13737193898092587	0.6110349307159353	test	1
CbG	CbG	0.13486045977379443	0.6103560216894978	test	1
CbG	CbG	0.1348268624937834	0.6101398601398603	test	1
CbG	CbG	0.13362482969303863	0.6105179309877297	test	1
CbG	CbG	0.13252384987335303	0.6107367927058193	test	1
CbG	CbG	0.13546474899898575	0.6154386882673163	test	1
CbG	CbG	0.1346440196589932	0.6161607994696074	test	1
CbG	CbG	0.13082353691092893	0.6190355970714466	test	1
CbG	CbG	0.25	0.8888888888888888	tune	1
CbG	CbG	0.25	0.9473684210526316	tune	1
CbG	CbG	0.23809523809523808	0.8928571428571428	tune	1
CbG	CbG	0.1854302832244009	0.7927927927927928	tune	1
CbG	CbG	0.11946895424836601	0.723404255319149	tune	1
CbG	CbG	0.10680449818380852	0.7134502923976609	tune	1
CbG	CbG	0.19518018018018016	0.7765151515151515	tune	1
CbG	CbG	0.2070801391892486	0.7612524461839532	tune	1
CbG	CbG	0.20285739165049507	0.7779690189328744	tune	1
CbG	CbG	0.1879950762924989	0.7665130568356375	tune	1
CbG	CbG	0.16632739565070392	0.7669902912621358	tune	1
CbG	CbG	0.19978423302050458	0.7117117117117118	tune	1
CbG	CbG	0.17979113394182297	0.6462948815889993	tune	1
CbG	CbG	0.16682298819172658	0.6048177083333334	tune	1
CbG	CbG	0.16175468402214724	0.6038647342995169	tune	1
CbG	CbG	0.15524311882196437	0.5902668759811617	tune	1
CbG	CbG	0.14761819119225475	0.5359477124183007	tune	1
CbG	CbG	0.13667381131467102	0.5312161674485746	tune	1
CbG	CbG	0.13457122643514033	0.5310077519379846	tune	1
CbG	CbG	0.1250940147483723	0.53998778998779	tune	1
CbG	CbG	0.11571279727042168	0.5353009259259259	tune	1
CbG	CbG	0.11286789087811804	0.5379537953795379	tune	1
CbG	CbG	0.11129065328843521	0.5461215932914046	tune	1
CbG	CbG	0.1184731608264207	0.5663253155513217	tune	1
CbG	CbG	0.13186047817690064	0.5984612185485547	tune	1
CbG	CbG	0.16038072619763033	0.6182200152788387	tune	1
CbG	CbG	0.15788471933208104	0.6193181818181819	tune	1
CbG	CbG	0.1755301691544431	0.6219075520833333	tune	1
CbG	CbG	0.18378892444214776	0.6412075471698113	tune	1
CbG	CbG	0.1752440961476937	0.6125356125356125	tune	1
CbG	CbG	0.1707237238788498	0.5987841945288754	tune	1
CbG	CbG	0.15945895394669868	0.5787415570565233	tune	1
CbG	CbG	0.1580635483882215	0.5833428800549891	tune	1
CbG	CbG	0.15457049494555972	0.5837676017296818	tune	1
CbG	CbG	0.16516153517688914	0.5948958333333333	tune	1
CbG	CbG	0.16313327268652342	0.5952525252525253	tune	1
CbG	CbG	0.16037940007323193	0.5948039215686275	tune	1
CbG	CbG	0.16791922476706783	0.6041223772991958	tune	1
CbG	CbG	0.16533242491261146	0.5997793056616585	tune	1
CbG	CbG	0.16340693027812322	0.6001981669556602	tune	1
CbG	CbG	0.1526125923153795	0.5874530663329162	tune	1
CbG	CbG	0.1478631135121339	0.5852636391344103	tune	1
CbG	CbG	0.14548678013691704	0.5874141048824593	tune	1
CbG	CbG	0.14337384647266876	0.5867372134038801	tune	1
CbG	CbG	0.14167815503454706	0.5848537005163512	tune	1
CbG	CbG	0.13917270045746455	0.5845378151260504	tune	1
CbG	CbG	0.13703958644208553	0.5825944170771756	tune	1
CbG	CbG	0.1334529907062536	0.5718218218218217	tune	1
CbG	CbG	0.12298590914348473	0.5647634389356244	tune	1
CbG	CbG	0.12165580580908547	0.564357013601074	tune	1
CbG	CbG	0.11817217267763161	0.5639106336780755	test	1
CbG	CbG	0.1146337787773396	0.5623636058418667	test	1
CbG	CbG	0.1122331247709319	0.5607148730880982	test	1
CbG	CbG	0.11029746630347931	0.5611197678792113	test	1
CbG	CbG	0.1043756389962463	0.5574521890311364	test	1
CbG	CbG	0.10344113305107991	0.5571805074673143	test	1
