lf_num	label_source	prediction_label	data_source	model	aupr_mean	aupr_upper_ci	aupr_lower_ci	auroc_mean	auroc_upper_ci	auroc_lower_ci	bce_mean	bce_upper_ci	bce_lower_ci
99	ALL	CbG	abstract	tune	0.08595661582866841	0.08595661582866841	0.08595661582866841	0.5414161461677661	0.5414161461677661	0.5414161461677661	2.7954585552215576	2.7954585552215576	2.7954585552215576
99	ALL	CbG	abstract	test	0.13481637477337094	0.13481637477337094	0.13481637477337094	0.6492881216039618	0.6492881216039618	0.6492881216039618	1.7945908308029177	1.7945908308029177	1.7945908308029177
1	ALL	CtD	abstract	tune	0.4906673923981	0.5090048186461984	0.4723299661500016	0.6914410581683168	0.6983809386782227	0.6845011776584109	2.632372534275055	2.792514972339996	2.4722300962101142
1	ALL	CtD	abstract	test	0.33943341736608146	0.34574226332740526	0.33312457140475765	0.5425566089837996	0.5521035554862888	0.5330096624813105	0.8554033935070038	0.8709473311084273	0.8398594559055803
33	ALL	CtD	abstract	tune	0.4024570242196562	0.42275743517597325	0.3821566132633391	0.7545382116336634	0.7716167692184469	0.7374596540488799	2.7102404010295866	3.098503789630438	2.3219770124287353
33	ALL	CtD	abstract	test	0.38347299658872946	0.4022901025733583	0.36465589060410064	0.6725743280559646	0.6907808022994012	0.654367853812528	1.3610140573978424	1.6496913387296985	1.0723367760659863
65	ALL	CtD	abstract	tune	0.37708722683029217	0.4074941323662134	0.34668032129437093	0.7211721328382837	0.7409384573922183	0.7014058082843492	3.0082525968551637	3.740073372765348	2.276431820944979
65	ALL	CtD	abstract	test	0.3807567322740173	0.4026390336417651	0.35887443090626947	0.652934002209131	0.6714492109152598	0.6344187935030022	3.1007773196697235	3.653961745117737	2.54759289422171
97	ALL	CtD	abstract	tune	0.3323782027100779	0.33562332365824676	0.32913308176190903	0.7057173061056105	0.7091332770743227	0.7023013351368982	3.179421558380127	3.3757543893305986	2.9830887274296556
97	ALL	CtD	abstract	test	0.3617938539997678	0.36498897244943906	0.3585987355500966	0.6370719808541974	0.639672192661429	0.6344717690469657	4.70787563085556	4.97330953020364	4.442441731507481
99	ALL	CtD	abstract	tune	0.33042795657848595	0.33042795657848595	0.33042795657848595	0.7081141707920792	0.7081141707920792	0.7081141707920792	3.4400064945220947	3.4400064945220947	3.4400064945220947
99	ALL	CtD	abstract	test	0.3663710933021607	0.3663710933021607	0.3663710933021607	0.6398656111929308	0.6398656111929308	0.6398656111929308	5.135602474212647	5.135602474212647	5.135602474212647
1	ALL	DaG	abstract	tune	0.4071604335912453	0.41132531144056717	0.4029955557419235	0.49526808865840233	0.498215341342081	0.49232083597472365	4.261666302680969	5.71826283957866	2.805069765783278
1	ALL	DaG	abstract	test	0.43288042692688594	0.43601429131531844	0.42974656253845345	0.56512065461218	0.567196896708197	0.563044412516163	3.1512280201911924	4.175780239796423	2.1266758005859616
33	ALL	DaG	abstract	tune	0.4722032422603655	0.4821778020164687	0.46222868250426224	0.6109885269775868	0.6208436515431558	0.6011334024120177	2.9227287364006043	3.805451394027409	2.0400060787737995
33	ALL	DaG	abstract	test	0.46626923887156524	0.4731993205968851	0.4593391571462454	0.6311381524940848	0.6378237451119199	0.6244525598762497	2.3774022066593172	3.051801777426429	1.7030026358922052
65	ALL	DaG	abstract	tune	0.5333956664109405	0.5429607633349955	0.5238305694868854	0.6788274340212409	0.6866598316668748	0.670995036375607	1.779061851501465	2.2340459032394877	1.324077799763442
65	ALL	DaG	abstract	test	0.5058197412926092	0.5138306655562996	0.49780881702891877	0.674529124359633	0.680631487806227	0.668426760913039	1.5941809332370758	1.9341947666931671	1.2541670997809844
97	ALL	DaG	abstract	tune	0.5804448577247112	0.5834092889196182	0.5774804265298042	0.7179814762192307	0.7200938891573557	0.7158690632811057	1.4748438620567321	1.5505551650244498	1.3991325590890145
97	ALL	DaG	abstract	test	0.5309190110571478	0.5334428528779271	0.5283951692363684	0.7007650604260773	0.702598566086705	0.6989315547654497	1.5127033352851869	1.584664131698679	1.4407425388716948
99	ALL	DaG	abstract	tune	0.584357964001697	0.584357964001697	0.584357964001697	0.720316218520229	0.7203162185202291	0.7203162185202289	1.508297562599182	1.508297562599182	1.508297562599182
99	ALL	DaG	abstract	test	0.5330687992798451	0.5330687992798451	0.5330687992798451	0.7021255580577613	0.7021255580577613	0.7021255580577613	1.5655266046524048	1.5655266046524048	1.5655266046524048
