lf_num	label_source	prediction_label	data_source	model	aupr_mean	aupr_upper_ci	aupr_lower_ci	auroc_mean	auroc_upper_ci	auroc_lower_ci	bce_mean	bce_upper_ci	bce_lower_ci
1	ALL	GiG	abstract	tune	0.2037179652719473	0.2098607385915748	0.1975751919523198	0.6736988636363636	0.6771763333525068	0.6702213939202203	2.0242744481563566	2.7171795563395826	1.3313693399731306
1	ALL	GiG	abstract	test	0.2997518549904525	0.3032886082322477	0.2962151017486573	0.6614287487586893	0.6647436845489405	0.6581138129684381	1.518804715871811	1.9604915598200523	1.0771178719235697
33	ALL	GiG	abstract	tune	0.23840597163604962	0.2528409022364387	0.22397104103566057	0.7056333333333333	0.7208446696604516	0.6904219970062151	2.161190455555916	3.1659226805234337	1.1564582305883984
33	ALL	GiG	abstract	test	0.2547140498180836	0.2653184792105399	0.24410962042562728	0.6684986345580932	0.6815518078219922	0.6554454612941942	2.421301870346069	3.3325518215793437	1.5100519191127946
65	ALL	GiG	abstract	tune	0.20788275940107145	0.21762152417427813	0.19814399462786478	0.696940909090909	0.7088118305128698	0.6850699876689482	1.673599978685379	1.8787996329002385	1.4684003244705195
65	ALL	GiG	abstract	test	0.22682733182208875	0.2343878243191666	0.2192668393250109	0.6449860352532274	0.655087397131007	0.6348846733754477	2.350597331523895	2.642072767831725	2.059121895216065
97	ALL	GiG	abstract	tune	0.18991871626311913	0.19119458670977024	0.188642845816468	0.6869465909090909	0.6887821725296996	0.6851110092884822	2.3436025309562685	2.390360797717096	2.2968442641954407
97	ALL	GiG	abstract	test	0.20903352160444783	0.21016833846555463	0.20789870474334102	0.630345394736842	0.6320552744622534	0.6286355150114307	3.489913592338562	3.5678435722492186	3.411983612427905
99	ALL	GiG	abstract	tune	0.1882828318892533	0.1882828318892533	0.1882828318892533	0.6848295454545454	0.6848295454545454	0.6848295454545454	2.41249680519104	2.41249680519104	2.41249680519104
99	ALL	GiG	abstract	test	0.20778968210551632	0.20778968210551632	0.20778968210551632	0.629142874875869	0.629142874875869	0.629142874875869	3.524590253829956	3.524590253829956	3.524590253829956
1	ALL	CbG	abstract	tune	0.15188330585152848	0.15519795673066328	0.1485686549723937	0.5782452863230401	0.5823020223205901	0.57418855032549	1.2936222553253174	1.6083005952068938	0.9789439154437408
1	ALL	CbG	abstract	test	0.2665642538536442	0.2710414304758831	0.2620870772314053	0.7228440745580851	0.7297176701680466	0.7159704789481236	1.3663496097922325	1.7367513862366675	0.9959478333477976
33	ALL	CbG	abstract	tune	0.11167787458571755	0.12176615411485577	0.10158959505657934	0.5755595119957971	0.5879624668939185	0.5631565570976758	2.8022024458646775	4.028766541803279	1.5756383499260762
33	ALL	CbG	abstract	test	0.18374599123652416	0.20259869242101697	0.16489329005203135	0.683200357658711	0.7075152459081818	0.6588854694092402	2.939579100608826	4.542220052766501	1.3369381484511513
65	ALL	CbG	abstract	tune	0.09828591318726199	0.10785985493180687	0.0887119714427171	0.5559062518241783	0.5647343255103734	0.5470781781379832	3.2735681176185607	4.559653027450002	1.9874832077871192
65	ALL	CbG	abstract	test	0.14868990566701618	0.15926061910562048	0.13811919222841187	0.6626102207854736	0.6798766012838867	0.6453438402870605	2.9084335297346113	4.5731483008837674	1.243718758585455
97	ALL	CbG	abstract	tune	0.08584561105934359	0.08635143707684455	0.08533978504184263	0.5418697098826688	0.54337567718361	0.5403637425817276	2.756293845176697	2.8167007484063604	2.6958869419470335
97	ALL	CbG	abstract	test	0.1368009406671959	0.13838884499345858	0.1352130363409332	0.6535600797854049	0.6572743123962873	0.6498458471745224	1.727727484703064	1.7608712969408273	1.6945836724653005
